Oligo-ID,Gene symbols,Entrez gene IDs,RefSeq IDs,Gene IDs,Transcript IDs
Hs21213.1,MYO5A,MYO5A,NM_000259.3; NM_001142495.1,ENSG00000197535,
A_23_P1740,NCAM1,NCAM1,NM_001242608.1; NM_000615.6; NM_001076682.3; NM_001242607.1; NM_181351.4,ENSG00000149294; ENSG00000262279,ENST00000316851; ENST00000401611; ENST00000526322; ENST00000530543; ENST00000531044; ENST00000534015; ENST00000524665; ENST00000397957; ENST00000533760; ENST00000527506; ENST00000531915; ENST00000593207; ENST00000591347; ENST00000591454; ENST00000593059; ENST00000590031; ENST00000576604; ENST00000592855; ENST00000586493; ENST00000589067
A_23_P153797,NCAN,NCAN,NM_004386.2,ENSG00000130287,ENST00000590187; ENST00000252575
A_24_P12435,NCOA7,NCOA7,NM_001199619.1; NM_001199620.1; NM_001199622.1; NM_001122842.2; NM_181782.4; NM_001199621.1,ENSG00000111912,ENST00000392477; ENST00000444128; ENST00000438495; ENST00000368357
A_24_P12438,NCOA7,NCOA7,NM_001199619.1; NM_001199620.1; NM_001199622.1; NM_001122842.2; NM_181782.4; NM_001199621.1,ENSG00000111912,ENST00000392477; ENST00000444128; ENST00000438495; ENST00000368357
A_24_P401601,NFE2L2; KRT18P40,NFE2L2,,ENSG00000269012; ENSG00000262059,ENST00000599859; ENST00000573488
A_23_P69537,NMU,NMU,NM_006681.2,ENSG00000109255,ENST00000505262; ENST00000264218; ENST00000511469
A_32_P144710,NR2C2AP,NR2C2AP,NM_176880.4,ENSG00000184162,ENST00000537399; ENST00000420605; ENST00000331552; ENST00000590907; ENST00000589148
A_23_P360245,NUDCD2,NUDCD2,NM_145266.4,ENSG00000170584,ENST00000302764
A_23_P127153,NUDT13,NUDT13,NM_015901.4,ENSG00000166321,
A_23_P111604,NXPH1,NXPH1,NM_152745.2,ENSG00000122584,ENST00000405863
A_24_P91916,NXT2,NXT2,NM_018698.4; NM_001242617.1; NM_001242618.1,ENSG00000101888,ENST00000372106; ENST00000218004
A_23_P106463,OAZ2,OAZ2,NM_002537.2,ENSG00000180304,ENST00000560258; ENST00000558194; ENST00000326005
A_32_P29083,PARP8; LINC00623,PARP8; LOC101060698; LOC728875; LINC00623,NM_001178055.1; NM_001178056.1; NM_024615.3; XM_001134398.4; XM_003960132.1,ENSG00000151883; ENSG00000223804; ENSG00000235398; ENSG00000231360; ENSG00000236943; ENSG00000215863; ENSG00000269501; ENSG00000232151; ENSG00000229801,
A_24_P367326,PCDHA1,PCDHA1,,ENSG00000259388,ENST00000558657
A_24_P392230,PCDHA1,PCDHA1,,ENSG00000213302,ENST00000441577
A_24_P400172,PCDHA1,LOC100130691,NM_001145412.2; NM_001145413.2; NM_006164.4,ENSG00000213963,ENST00000430416; ENST00000456746; ENST00000397057; ENST00000588123
A_24_P360206,PCDHA1; PCDHA2; PCDHA3; PCDHA4; PCDHA5; PCDHA6; PCDHA7; PCDHA8; PCDHA9; PCDHA10; PCDHA11; PCDHA12; PCDHA13; PCDHAC1; PCDHAC2,PCDHA1; PCDHA2; PCDHA3; PCDHA4; PCDHA5; PCDHA6; PCDHA7; PCDHA8; PCDHA9; PCDHA10; PCDHA11; PCDHA12; PCDHA13; PCDHAC1; PCDHAC2,NM_018899.5; NM_031883.2; NM_018900.2; NM_031411.1; NM_031410.1; NM_018905.2; NM_031495.1; NM_018909.2; NM_031848.1; NM_031849.1; NM_018910.2; NM_031852.1; NM_018911.2; NM_031856.1; NM_031860.1; NM_018901.2; NM_031859.1; NM_018903.2; NM_031864.1; NM_018902.3; NM_031865.1; NM_018904.2; NM_031865.1; NM_018898.3; NM_031882.2,ENSG00000243232,ENST00000289269; ENST00000253807; ENST00000289272; ENST00000409494; ENST00000398631; ENST00000398640; ENST00000307360; ENST00000506939; ENST00000532602; ENST00000531613; ENST00000525929; ENST00000529310; ENST00000529859; ENST00000529619; ENST00000530339; ENST00000512229; ENST00000522353; ENST00000526136; ENST00000394633; ENST00000504120
A_24_P251962,PCDHB3,PCDHB3,NM_018937.2,ENSG00000113205,ENST00000231130; ENST00000194155
A_24_P339611,PDCD5,PDCD5,NM_004708.3,ENSG00000105185,ENST00000586316; ENST00000586035; ENST00000221784; ENST00000590247
A_23_P251095,PDHA1,PDHA1,NM_001173454.1; NM_000284.3; NM_001173455.1; NM_001173456.1,ENSG00000131828,ENST00000540249; ENST00000545074; ENST00000379806; ENST00000478795; ENST00000379804; ENST00000422285
A_24_P186216,PDS5A,PDS5A,NM_001100399.1; NM_001100400.1,ENSG00000121892,ENST00000503396
A_23_P396765,PGM2L1,PGM2L1,NM_173582.3,ENSG00000165434,ENST00000298198
A_32_P122703,PGM2L1,PGM2L1,NM_173582.3,ENSG00000165434,ENST00000298198
A_32_P122705,PGM2L1,PGM2L1,NM_173582.3,ENSG00000165434,ENST00000298198
A_32_P127200,PGM2L1,LOC728875,,ENSG00000236943; ENSG00000268554; ENSG00000263446; ENSG00000223779,ENST00000428309; ENST00000421955; ENST00000439906; ENST00000600072; ENST00000579538; ENST00000442049
A_32_P135336,PGM2L1,LOC728875,,ENSG00000258150; ENSG00000258130,ENST00000549950; ENST00000550538
A_32_P52018,PHACTR1,PHACTR1,NM_001242648.1; NM_030948.2,ENSG00000112137,ENST00000457702; ENST00000332995; ENST00000481706; ENST00000379329; ENST00000379335; ENST00000489548; ENST00000415087
A_24_P942253,PHF8,PHF8,NM_015107.2; NM_001184896.1; NM_001184898.1; NM_001184897.1,ENSG00000268312; ENSG00000172943,ENST00000601647; ENST00000596621; ENST00000595978; ENST00000338946; ENST00000357988; ENST00000338154
A_23_P47614,PHLDA2,PHLDA2,NM_003311.3,ENSG00000181649,ENST00000314222
A_23_P133470,PJA2,PJA2,NM_014819.4,ENSG00000198961,ENST00000361557; ENST00000361189
A_23_P149626,PLEKHG5,PLEKHG5,NM_198681.3; NM_020631.4; NM_001042663.1; NM_001265592.1; NM_001265593.1; NM_001042664.1; NM_001265594.1; NM_001042665.1,ENSG00000171680,ENST00000377737; ENST00000400913; ENST00000340850; ENST00000535355; ENST00000377740; ENST00000400915; ENST00000377732; ENST00000377728; ENST00000377725; ENST00000487949; ENST00000377748; ENST00000489097
A_23_P386411,PPID,PPID,NM_005038.2,ENSG00000171497,ENST00000307720
Hs56.1,PRPS1,PRPS1,NM_001204402.1;  NM_002764.3 ,ENSG00000147224,
A_23_P331670,PYGB,PYGB,NM_002862.3,ENSG00000100994,ENST00000216962
A_23_P27023,RAB11FIP4,RAB11FIP4,NM_032932.3,ENSG00000131242,ENST00000325874
A_23_P38427,RAB11FIP4,RAB11FIP4,NM_032932.3,ENSG00000131242,ENST00000325874
A_24_P164549,RAB11FIP4,RAB11FIP4,NM_032932.3,ENSG00000131242,ENST00000325874
A_24_P401909,RAB11FIP4,RAB11FIP4,NM_032932.3,ENSG00000131242,ENST00000581460; ENST00000583755; ENST00000394744; ENST00000325874
A_24_P403150,RAB11FIP4,FLJ34503,,ENSG00000175967,ENST00000314481
A_24_P13230,RAB6A,RAB6A,NM_002869.4; NM_198896.1; NM_001243718.1; NM_001243719.1,ENSG00000175582,ENST00000336083; ENST00000310653
A_24_P475349,RAB6B,RAB6B,NM_016577.3,ENSG00000154917,ENST00000543906; ENST00000285208
A_23_P417148,RAI1,RAI1,NM_030665.3,ENSG00000108557,ENST00000353383
A_23_P96285,REEP1,REEP1,NM_022912.2; NM_001164732.1; NM_001164730.1; NM_001164731.1,ENSG00000068615,ENST00000535845; ENST00000538924; ENST00000541910; ENST00000165698
A_23_P64919,RERGL,RERGL,NM_024730.2,ENSG00000111404,ENST00000538724; ENST00000229002
A_23_P253689,RFX3,RFX3,NM_134428.1; NM_002919.2,ENSG00000080298,NO HITS FOUND
A_23_P308731,RHBDL3,RHBDL3,NM_138328.2,ENSG00000141314,ENST00000536287; ENST00000538145; ENST00000269051ENST00000431505; ENST00000578006
A_23_P148484,RLIM,RLIM,NM_016120.3; NM_183353.2,ENSG00000131263,ENST00000349225; ENST00000332687
A_23_P149153,RLIM; PDE4DIP,RLIM; LOC101060291; LOC101060582,XM_003846758.1; XM_003960245.1; NM_001198832.1; XM_003846758.1; XM_003960241.1; XM_003846758.1; NM_001198834.2; NM_014644.4; XM_003846735.1; XM_003846758.1; XM_003960246.1; XM_003846758.1; XM_003960242.1; XM_003846758.1; XM_003960239.1; XM_003960250.1; XM_001713923.2; XM_003960185.1; XM_003846758.1; NM_001002812.1; XM_003846758.1; XM_003960251.1; NM_001002811.1; XM_003846758.1; XM_003960244.1; XM_003960248.1; XM_003846758.1; XM_003960240.1; XM_003846758.1; XM_003846522.1; XM_003960256.1; NM_001002810.3; NM_001195260.1; NM_022359.5; XM_003960066.1; XM_003960258.1,ENSG00000266350; ENSG00000215861,ENST00000579144; ENST00000313342; ENST00000585156; ENST00000533259; ENST00000528552; ENST00000533163; ENST00000532803; ENST00000464103; ENST00000530472; ENST00000477941; ENST00000369348; ENST00000369347; ENST00000534536; ENST00000530078; ENST00000369349; ENST00000369351; ENST00000369359; ENST00000530740; ENST00000369356; ENST00000369354; ENST00000313382
A_23_P141536,RNF167,RNF167,NM_015528.1,ENSG00000108523,ENST00000576965; ENST00000572382; ENST00000576229; ENST00000575111; ENST00000262482; ENST00000572430; ENST00000571816
A_23_P76234,RPH3A,RPH3A,NM_001143854.1; NM_014954.3,ENSG00000089169,ENST00000420983; ENST00000447659; ENST00000549324; ENST00000549913; ENST00000415485; ENST00000389385
A_23_P416305,RPL27A,SNORA3,NM_000990.4,ENSG00000166441,ENST00000314138
A_23_P125596,RPS6KA6,RPS6KA6,NM_014496.4,ENSG00000072133,ENST00000543399; ENST00000262752
A_24_P162319,SCML1,SCML1,NM_001037536.1; NM_001037540.1; NM_006746.4; NM_001037535.1,ENSG00000047634,ENST00000398080; ENST00000487842; ENST00000419185; ENST00000427362; ENST00000380043; ENST00000380041; ENST00000380045
A_24_P129232,SERINC1,SERINC1,NM_020755.2,ENSG00000111897,ENST00000339697; ENST00000368454
A_23_P49849,SEZ6,SEZ6,NM_001098635.1; NM_178860.4,ENSG00000063015,ENST00000442608; ENST00000535262; ENST00000540419; ENST00000317338; ENST00000540632; ENST00000360295
A_23_P156180,SLC22A4,SLC22A4,NM_003059.2,ENSG00000197208,ENST00000200652
A_23_P137057,SLC25A5,SLC25A5,NM_001152.4,ENSG00000005022,ENST00000317881
A_23_P436179,SLC25A5,SLC25A5,NM_001152.4; NM_001152.4,ENSG00000005022,ENST00000463551
A_23_P100676,SMG6,SMG6,NM_017575.4; NM_001256827.1; NM_001256828.1,ENSG00000070366,ENST00000544865; ENST00000570756; ENST00000354901; ENST00000573166; ENST00000263073; ENST00000574501
A_23_P132936,SPCS3,SPCS3,NM_021928.3,ENSG00000129128,ENST00000507001; ENST00000507678; ENST00000503362
A_23_P392654,SPHKAP,SPHKAP,NM_001142644.1; NM_030623.3,ENSG00000153820,ENST00000344657; ENST00000392056
A_23_P146284,SQLE,SQLE,NM_003129.3,ENSG00000104549,ENST00000265896; ENST00000523430
A_24_P57977,SRCIN1,SRCIN1,NM_025248.2,ENSG00000017373; ENSG00000262199,ENST00000264659; ENST00000570888
A_23_P358410,SRGAP3,SRGAP3,NM_014850.3; NM_001033117.2,ENSG00000196220,ENST00000360413; ENST00000383836
A_24_P664850,ST8SIA2,ST8SIA2,NM_006011.3,ENSG00000140557,ENST00000268164
A_32_P203528,SYCE2,SYCE2,NM_001105578.1,ENSG00000161860,ENST00000592819; ENST00000293695
A_32_P231547,SYCE2,LOC728875,,ENSG00000236943; ENSG00000263446; ENSG00000223779; ENSG00000268554,ENST00000428309; ENST00000421955; ENST00000579538; ENST00000442049; ENST00000439906; ENST00000600072
A_24_P417162,TBL1X,TBL1X,NM_001139468.1; NM_005647.3; NM_001139466.1; NM_001139467.1,ENSG00000101849,ENST00000424279; ENST00000407597; ENST00000217964
A_24_P93728,TCEANC2,TCEANC2,NM_153035.1,ENSG00000116205,ENST00000498272
A_24_P134727,TFAM,TFAM,NM_003201,,ENST00000373899
A_23_P99930,TIPIN,TIPIN,NM_017858.2,ENSG00000075131,ENST00000367709; ENST00000566524; ENST00000261881
A_32_P353072,TMEM106B,TMEM106B,NM_001134232.1; NM_018374.3,ENSG00000106460,ENST00000396667
A_24_P317827,TMEM8B,TMEM8B,NM_016446.3; NM_001042589.2; NM_001042590.2,ENSG00000137103,ENST00000377988; ENST00000377991
A_24_P32920,TMEM8B,TMEM8B,,ENSG00000241418,ENST00000394346
A_23_P141180,TOM1L2,TOM1L2,NM_001033551.2; NM_001082968.1,ENSG00000175662,ENST00000581396
A_24_P50908,TRIM11,TRIM11,NM_145214.2,ENSG00000154370,ENST00000366699
A_24_P511686,TRIM11,TRIM11,,ENSG00000250303,ENST00000529938; ENST00000419895; ENST00000532168
A_24_P205008,TSEN54,TSEN54,NM_207346.2,ENSG00000182173,NO HITS FOUND
A_32_P164510,TVP23C; LINC00623; PARP8,LOC101060698; LOC728875; LINC00623; PARP8,XM_001134398.4; XM_003960132.1; NM_001178055.1; NM_001178056.1; NM_024615.3,ENSG00000223804; ENSG00000235398; ENSG00000231360; ENSG00000236943; ENSG00000215863; ENSG00000269501; ENSG00000232151; ENSG00000269614; ENSG00000151883,
A_23_P427083,TVP23C-CDRT4; CDRT4,TVP23C-CDRT4; CDRT4,NM_001204478.1; NM_001204477.1,ENSG00000259024,ENST00000522212; ENST00000312177
A_32_P184933,UBE2SP2; UBE2S; UBE2SP1,HRK; UBE2S,NM_014501.2,ENSG00000224126; ENSG00000108106; ENSG00000233966,ENST00000428091; ENST00000589978; ENST00000264552; ENST00000450587
A_23_P255016,UGGT1,UGGT1,NM_020120.3,ENSG00000136731,ENST00000375990; ENST00000465836; ENST00000418197; ENST00000259253; ENST00000376723
A_23_P55107,ULK2,ULK2,NM_001142610.1; NM_014683.3,ENSG00000083290,ENST00000395544
A_24_P619733,WDPCP; MDH1,WDPCP; MDH1,NM_015910.5; NM_005917.3; NM_001199111.1; NM_001199112.1,ENSG00000143951; ENSG00000014641,
A_23_P368847,WFDC10A,WFDC10A,NM_080753.2,ENSG00000180305,ENST00000372643
A_23_P382607,WNT4,WNT4,NM_030761.4,ENSG00000162552,ENST00000542383; ENST00000290167
Hs187991.2,WSB1,WSB1,NM_015626; NM_134265; NP_056441; NP_599027,ENSG00000109046,
A_32_P201329,ZBTB20,ZBTB20,,ENSG00000249395,
A_32_P5542,ZBTB20,ZBTB20,NM_001164343.1; NM_001164347.1; NM_001164345.1; NM_001164342.1; NM_015642.4; NM_001164344.1; NM_001164346.1,ENSG00000181722,
A_23_P100654,ZBTB4,ZBTB4,NM_001128833.1; NM_020899.3,ENSG00000174282,ENST00000311403; ENST00000380599
A_23_P168951,ZHX2,ZHX2,NM_014943.3,ENSG00000178764,ENST00000314393
A_24_P282108,ZZEF1,ZZEF1,NM_015113.3,ENSG00000074755,ENST00000381638
A_24_P40481,,,,,
A_24_P792988,,,,,
A_24_P838448,,,,,
A_32_P181564,,,,,
A_32_P393116,,,,,
A_32_P443610,,,,,
A_32_P6008,,,,,
A_32_P723356,,,,,
A_32_P800391,,,,,
A_32_P85753,,,,,
A_32_P86135,,,,,
Hs150167.1,,,,,
Hs387007.1,,,,,
Hs391327.1,,,,,
,,,,,
,,,,,
,,,*=transcriptionally repressed by MYCN in (SHEP-MYCN),,
,,,,,
,,,*=transcriptionally activated by MYCN in (SHEP-MYCN),,
